country,continent,year,pop,gdpPercap,lifeExp
AACHEN (NEAR COLOGNE) (GERMANY),DE,2004,1,2.0,2.0
ABBEVILLE,US,2002,1,,
ABBEVILLE,US,2003,1,600.0,600.0
ABBEVILLE,US,2007,1,3.0,3.0
ABBEVILLE,US,2010,1,,
ABBEVILLE,US,2013,1,1800.0,1800.0
ABBEVILLE,US,2014,1,3.0,3.0
ABBEVILLE (LAKE SECESSION),US,1999,1,300.0,300.0
ABBOTSFORD (CANADA),CA,2001,2,9.0,9.0
ABBOTSFORD (CANADA),CA,2002,3,1.0,2.0
ABBOTSFORD (CANADA),CA,2004,1,,
ABBOTSFORD (CANADA),CA,2005,3,157.5,300.0
ABBOTSFORD (CANADA),CA,2006,2,360.0,600.0
ABBOTSFORD (CANADA),CA,2007,1,0.0,0.0
ABBOTSFORD (CANADA),CA,2009,1,21600.0,21600.0
ABBOTSFORD (CANADA),CA,2011,1,120.0,120.0
ABBOTSFORD (CANADA),CA,2013,3,90.0,180.0
ABERCARN (UK/WALES),GB,2009,1,600.0,600.0
ABERDARE (UK/WALES),GB,2002,1,600.0,600.0
ABERDEEN,US,2001,5,119.0,330.0
ABERDEEN,US,2002,2,157.5,300.0
ABERDEEN,US,2004,1,300.0,300.0
ABERDEEN,US,2005,1,,
ABERDEEN,US,2007,2,3600.0,3600.0
ABERDEEN,US,2008,1,30.0,30.0
ABERDEEN,US,2009,2,607.5,1200.0
ABERDEEN,US,2010,1,240.0,240.0
ABERDEEN,US,2013,1,0.0,0.0
ABERDEEN,US,2014,2,1050.0,1800.0
ABERDEEN (UK/SCOTLAND),GB,2001,5,286.0,600.0
ABERDEEN (UK/SCOTLAND),GB,2002,1,10.0,10.0
ABERDEEN (UK/SCOTLAND),GB,2004,1,5400.0,5400.0
ABERDEEN (UK/SCOTLAND),GB,2007,3,3600.0,3600.0
ABERDEEN (UK/SCOTLAND),GB,2009,3,210.0,300.0
ABERSOCH (UK/WALES),GB,2003,1,,
ABILENE,US,2001,1,0.0,0.0
ABILENE,US,2002,2,1185.0,1185.0
ABILENE,US,2003,2,7200.0,7200.0
ABILENE,US,2005,4,8.0,20.0
ABILENE,US,2006,3,640.6666666666666,1800.0
ABILENE,US,2007,2,360.0,360.0
ABILENE,US,2008,8,224.71428571428572,900.0
ABILENE,US,2009,5,765.5,1800.0
ABILENE,US,2010,3,740.0,1800.0
ABILENE,US,2012,4,454.0,900.0
ABINGDON,US,2001,2,420.0,600.0
ABINGDON,US,2003,2,1800.0,1800.0
